A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"  years till my wife could put cookies in the kitchen cabinet without me savaging them as a serious carb and exercise addict a single dose of wellbutrin in  killed my desire to eat and exercise which did not return for  month after ceasing trial of medication n",47,93.26,14.37,77.49,4.35,47.00,23.40,87.23,48.94,10.64,8.51,6.38,0.00,0.00,0.00,2.13,2.13,6.38,21.28,4.26,0.00,8.51,4.26,8.51,8.51,4.26,2.13,2.13,2.13,6.38,2.13,4.26,0.00,2.13,0.00,4.26,2.13,0.00,2.13,0.00,8.51,0.00,0.00,4.26,0.00,0.00,4.26,0.00,0.00,0.00,0.00,17.02,0.00,10.64,0.00,6.38,4.26,2.13,0.00,0.00,2.13,0.00,2.13,2.13,0.00,19.15,2.13,4.26,12.77,0.00,6.38,2.13,0.00,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" ium such a planner for ex i never take the wellbutrin on eating disorder days i have boobs and brains",20,66.46,6.70,74.76,25.77,20.00,15.00,85.00,50.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,5.00,10.00,5.00,5.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,5.00,15.00,0.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" my ssri with b works a lot better than just my ssri alone udeudd never heard about wellbutrin",18,75.90,4.80,58.07,25.77,18.00,5.56,77.78,44.44,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,5.56,16.67,0.00,16.67,0.00,5.56,11.11,16.67,11.11,0.00,0.00,5.56,11.11,5.56,5.56,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,5.56,5.56,5.56,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,5.56,0.00,5.56,5.56,0.00,5.56,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" that the need for mental health prescriptions (xanax wellbutrin etc) in this country will increase exponentially  nnvote  the lives of children taken at the border depend on your vote  the future of the aca rests on people voting  vote this horror show out of officenty",45,99.00,81.29,29.55,3.92,45.00,15.56,80.00,42.22,8.89,2.22,0.00,0.00,2.22,0.00,0.00,6.67,11.11,20.00,2.22,0.00,0.00,0.00,13.33,2.22,0.00,0.00,0.00,0.00,2.22,0.00,2.22,2.22,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,2.22,2.22,4.44,0.00,0.00,2.22,2.22,0.00,0.00,8.89,0.00,8.89,0.00,0.00,4.44,0.00,0.00,2.22,2.22,0.00,2.22,6.67,4.44,20.00,2.22,15.56,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00
" the way my psychiatristus office na) didnut call to set up a follow up like normalnb) changed the policy without any notice that i can no longer get a refill even with an appointment on the schedulenni feel like shit i want my wellbutrin back",45,98.28,5.99,98.01,3.92,45.00,15.56,82.22,51.11,11.11,8.89,8.89,0.00,0.00,0.00,0.00,2.22,13.33,17.78,2.22,4.44,0.00,4.44,13.33,2.22,6.67,0.00,0.00,2.22,2.22,0.00,2.22,0.00,2.22,0.00,2.22,0.00,0.00,0.00,0.00,13.33,4.44,2.22,2.22,2.22,0.00,2.22,2.22,0.00,0.00,2.22,2.22,2.22,0.00,0.00,0.00,8.89,0.00,0.00,6.67,2.22,0.00,2.22,13.33,0.00,20.00,4.44,13.33,4.44,6.67,0.00,0.00,0.00,0.00,0.00,2.22,2.22,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00
" maybe itus the combination of good news wellbutrin and dbt exercises but i fucking love being alive right now man what a fantastic feeling",24,62.04,33.83,48.89,99.00,24.00,25.00,79.17,41.67,8.33,4.17,4.17,0.00,0.00,0.00,0.00,4.17,8.33,4.17,4.17,8.33,8.33,0.00,8.33,12.50,0.00,4.17,0.00,0.00,16.67,12.50,4.17,0.00,4.17,0.00,8.33,0.00,0.00,0.00,4.17,12.50,4.17,0.00,0.00,4.17,0.00,4.17,4.17,0.00,0.00,4.17,16.67,0.00,8.33,4.17,0.00,8.33,4.17,0.00,0.00,4.17,0.00,0.00,4.17,0.00,8.33,0.00,4.17,4.17,0.00,4.17,0.00,0.00,0.00,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" never tried wellbutrin lexapro or celexa did the trick i was tweaking the first  weeks and then after felt unusually happy it changed my life wellbutrin is a strange one for depression id go with the ssris ( selective serotonin reuptake inhibitor)",41,67.40,11.14,96.26,1.00,41.00,29.27,75.61,43.90,9.76,7.32,7.32,0.00,0.00,0.00,0.00,2.44,9.76,7.32,9.76,2.44,7.32,2.44,19.51,7.32,2.44,0.00,4.88,0.00,12.20,2.44,9.76,2.44,2.44,2.44,0.00,0.00,0.00,0.00,0.00,12.20,4.88,2.44,0.00,2.44,2.44,2.44,2.44,0.00,0.00,2.44,2.44,0.00,2.44,0.00,0.00,7.32,0.00,4.88,0.00,0.00,2.44,12.20,4.88,2.44,17.07,4.88,0.00,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,0.00
" wellbutrin really didn't do much for me but apparently it did allow me to combat intrusive thoughts because the last week without it has been hell i've been trying since yesterday to get my homework done and i'm still here on twitter for why?? send help",46,9.72,2.56,99.00,4.13,23.00,19.57,93.48,65.22,15.22,10.87,10.87,0.00,0.00,0.00,0.00,4.35,2.17,15.22,19.57,10.87,6.52,4.35,26.09,0.00,0.00,2.17,0.00,2.17,2.17,0.00,2.17,0.00,2.17,0.00,6.52,0.00,0.00,0.00,0.00,23.91,2.17,8.70,0.00,4.35,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.87,4.35,2.17,4.35,2.17,0.00,13.04,13.04,0.00,15.22,2.17,2.17,10.87,2.17,2.17,2.17,0.00,2.17,0.00,4.35,2.17,2.17,0.00,0.00,0.00,10.87,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,6.52,0.00,0.00
" fuck wellbutrin that shit made me wanna unalive",8,11.86,1.00,1.00,1.00,8.00,25.00,75.00,37.50,25.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" jumping in here sorry if its rude ive been told by the entire world that vyvanse was better than adderall amp; that it would help me focus without all of the side effects but it just keeps me awake without any productivity taking it with wellbutrin might have been a big miss steak",53,45.20,6.58,60.79,1.00,53.00,15.09,86.79,54.72,16.98,5.66,5.66,0.00,0.00,0.00,0.00,11.32,5.66,13.21,13.21,3.77,3.77,3.77,22.64,9.43,3.77,0.00,0.00,5.66,7.55,1.89,5.66,0.00,1.89,3.77,3.77,0.00,0.00,0.00,0.00,22.64,1.89,3.77,3.77,5.66,3.77,9.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.55,1.89,1.89,3.77,3.77,0.00,7.55,7.55,1.89,9.43,1.89,7.55,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i was on it while taking the maximum dosage of zoloft wellbutrin gave me vivid dreams that oftentimes ended in me kicking and screaming out of my sleep random muscle spasms and l ringing in my left ear i stopped taking it after the last side effect",47,81.28,14.37,99.00,4.35,47.00,14.89,89.36,46.81,19.15,12.77,12.77,0.00,0.00,0.00,0.00,6.38,4.26,14.89,2.13,0.00,6.38,0.00,19.15,4.26,2.13,0.00,0.00,0.00,2.13,0.00,2.13,0.00,0.00,0.00,2.13,0.00,0.00,0.00,0.00,4.26,2.13,2.13,0.00,2.13,0.00,0.00,8.51,2.13,6.38,0.00,10.64,6.38,6.38,0.00,0.00,6.38,0.00,0.00,0.00,4.26,2.13,10.64,0.00,0.00,23.40,0.00,12.77,10.64,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" today i managed to calm myself down from three irrational fears caused by wellbutrin dosage drops without having to ask my friends ucdo you hate me???ud jebbushpleaseclapgif uddudcudcudffd",29,89.42,24.51,69.96,1.00,29.00,24.14,79.31,41.38,17.24,17.24,13.79,0.00,3.45,0.00,0.00,0.00,0.00,20.69,3.45,0.00,0.00,3.45,13.79,3.45,0.00,0.00,3.45,0.00,13.79,3.45,10.34,6.90,3.45,0.00,10.34,0.00,3.45,0.00,0.00,6.90,0.00,3.45,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,10.34,3.45,0.00,6.90,0.00,0.00,3.45,10.34,0.00,6.90,0.00,3.45,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,0.00,0.00,0.00,10.34,0.00,0.00,0.00,0.00,0.00,0.00
" an artist i follow on here said she started wellbutrin recently and it changed her sleeping schedule all around but thatus the only side effect iuve heard about it",29,50.74,75.49,95.26,25.77,29.00,20.69,89.66,48.28,17.24,10.34,3.45,0.00,0.00,6.90,0.00,6.90,6.90,10.34,0.00,13.79,6.90,0.00,20.69,6.90,3.45,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,13.79,0.00,0.00,6.90,0.00,13.79,3.45,6.90,0.00,0.00,3.45,3.45,6.90,0.00,6.90,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,3.45,0.00,27.59,6.90,10.34,10.34,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" now that the weather is changing i lowered my prozac and upped my wellbutrin i've communicated with my drs every step of the way and we've found the best path forward for me i know i'm lucky in this respect amp; i also know i'm a good self advocate which is a skill but i'm so",56,11.86,7.67,99.00,97.85,56.00,14.29,89.29,57.14,26.79,21.43,19.64,1.79,0.00,0.00,0.00,5.36,8.93,7.14,12.50,5.36,8.93,0.00,19.64,3.57,1.79,1.79,0.00,1.79,8.93,7.14,1.79,0.00,0.00,1.79,5.36,0.00,0.00,0.00,0.00,12.50,5.36,1.79,0.00,1.79,1.79,1.79,0.00,0.00,0.00,0.00,3.57,0.00,3.57,0.00,0.00,16.07,3.57,3.57,7.14,5.36,0.00,5.36,16.07,0.00,12.50,5.36,7.14,3.57,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,0.00,0.00,1.79,0.00,0.00,0.00,0.00,8.93,0.00,0.00
" oh no i love acid but eek i was put on antid's way before my bp dx amp; was manic for years wo ever knowing a gp gave me zoloft amp; my abusive spouse wouldn't have noticed if i lost a limb let alone had behavioral changes i was on wellbutrin to quit smoking too that was wild",58,36.27,8.40,95.26,1.00,58.00,13.79,79.31,48.28,13.79,12.07,12.07,0.00,0.00,0.00,0.00,1.72,3.45,8.62,13.79,3.45,3.45,3.45,24.14,3.45,1.72,0.00,0.00,0.00,6.90,1.72,5.17,0.00,1.72,3.45,5.17,1.72,0.00,0.00,0.00,12.07,3.45,1.72,3.45,1.72,1.72,3.45,1.72,0.00,0.00,0.00,5.17,0.00,1.72,0.00,1.72,6.90,3.45,3.45,0.00,0.00,0.00,13.79,1.72,0.00,15.52,5.17,5.17,5.17,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,1.72,0.00,6.90,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,3.45,0.00,0.00
" ium planning to continue with my lexapro once i feel iuve detoxed completely but the wellbutrin made me dissociate and want to kill myself frequently so just drying out currently and trying to get back to square one",38,64.39,9.43,90.72,2.51,38.00,23.68,84.21,50.00,10.53,10.53,10.53,0.00,0.00,0.00,0.00,0.00,2.63,15.79,0.00,13.16,10.53,0.00,13.16,2.63,0.00,0.00,5.26,0.00,2.63,0.00,2.63,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,15.79,2.63,2.63,2.63,2.63,2.63,2.63,5.26,2.63,0.00,2.63,2.63,0.00,2.63,0.00,0.00,7.89,0.00,5.26,0.00,2.63,0.00,2.63,13.16,2.63,15.79,0.00,5.26,13.16,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" my gp told me that wellbutrin can cause anxiety when i asked about anti anxiety meds likely something i'll never get bc they all induce sleepiness uddude",27,1.44,22.95,79.42,1.00,27.00,18.52,77.78,44.44,25.93,18.52,14.81,0.00,0.00,0.00,3.70,7.41,0.00,3.70,7.41,11.11,7.41,3.70,14.81,0.00,0.00,3.70,0.00,3.70,7.41,0.00,7.41,7.41,0.00,0.00,11.11,0.00,0.00,0.00,0.00,25.93,3.70,11.11,0.00,7.41,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,3.70,0.00,7.41,7.41,3.70,7.41,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00
" ium there too i take paxil and wellbutrin for my depression and anxiety but then i also have several other medicationsvitamins for other health stuff going on i think i take a total of  when i wake up and then  when i go to sleep you are not alone",49,5.89,2.08,99.00,1.00,49.00,10.20,93.88,65.31,22.45,16.33,14.29,0.00,2.04,0.00,0.00,6.12,2.04,12.24,4.08,10.20,18.37,2.04,14.29,2.04,0.00,4.08,0.00,4.08,6.12,0.00,6.12,2.04,0.00,4.08,2.04,0.00,0.00,0.00,0.00,12.24,2.04,0.00,0.00,0.00,2.04,8.16,0.00,0.00,0.00,0.00,8.16,4.08,4.08,0.00,0.00,6.12,0.00,0.00,2.04,4.08,0.00,0.00,12.24,6.12,16.33,4.08,4.08,8.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" iuve taken wellbutrin for almost a decade i started on a low dose as a smoking cessation aid that didnut work but i noticed a change in my mood and motivation level so we tried a therapeutic dose for depression never looked back",43,79.72,24.26,98.96,1.00,43.00,18.60,88.37,48.84,11.63,9.30,6.98,2.33,0.00,0.00,0.00,2.33,11.63,11.63,0.00,9.30,9.30,2.33,11.63,2.33,2.33,0.00,0.00,0.00,6.98,0.00,4.65,0.00,0.00,4.65,2.33,0.00,0.00,0.00,0.00,13.95,4.65,4.65,0.00,2.33,2.33,2.33,2.33,2.33,0.00,0.00,9.30,0.00,6.98,0.00,2.33,13.95,2.33,6.98,2.33,2.33,0.00,11.63,2.33,0.00,20.93,2.33,11.63,9.30,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i have a good friend who's about to start wellbutrin and they've never taken anything for their depression before and are feeling nervous nnif you've been on it will you share a bit about your experience? i'd love to share it with my friend",44,17.39,98.80,31.94,94.75,22.00,13.64,95.45,65.91,27.27,18.18,6.82,0.00,6.82,0.00,4.55,9.09,4.55,18.18,15.91,6.82,4.55,2.27,25.00,4.55,2.27,2.27,0.00,2.27,13.64,9.09,4.55,2.27,0.00,2.27,25.00,0.00,4.55,0.00,0.00,6.82,2.27,0.00,0.00,2.27,2.27,0.00,4.55,0.00,0.00,2.27,2.27,0.00,0.00,0.00,0.00,15.91,11.36,0.00,0.00,4.55,0.00,9.09,13.64,2.27,9.09,0.00,2.27,6.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.36,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,9.09,0.00,0.00
" i know it's only the first day but wellbutrin makes me feel like i just jumped out of an airplane",20,66.46,2.31,99.00,25.77,20.00,10.00,90.00,60.00,20.00,15.00,15.00,0.00,0.00,0.00,0.00,5.00,10.00,15.00,5.00,10.00,5.00,0.00,25.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,5.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,5.00,20.00,0.00,20.00,5.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
" i'm gonna need somebody to scream at me every night at pm cst to take my second wellbutrin because i can never fucking remember",24,38.60,1.89,99.00,1.00,24.00,20.83,87.50,50.00,20.83,16.67,16.67,0.00,0.00,0.00,0.00,4.17,0.00,16.67,8.33,4.17,4.17,4.17,20.83,4.17,0.00,0.00,4.17,4.17,8.33,0.00,8.33,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,25.00,4.17,4.17,4.17,4.17,8.33,0.00,4.17,0.00,4.17,0.00,4.17,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,4.17,0.00,4.17,16.67,4.17,20.83,4.17,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,4.17,4.17,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00
" shout out to wellbutrin and sertraline love those funky lil brain candies ium still depressed but like less so than iud be without them lol",25,63.83,21.18,69.14,91.14,25.00,20.00,80.00,48.00,8.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,20.00,4.00,8.00,12.00,4.00,4.00,12.00,12.00,0.00,0.00,4.00,12.00,8.00,4.00,0.00,0.00,4.00,8.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,12.00,4.00,0.00,4.00,0.00,12.00,4.00,0.00,0.00,4.00,8.00,4.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,12.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i'm absolutely not a medical doctor and not recommending anything medically but for me personally wellbutrin ended up working perfectly without any side effects that i can observe that medication is often recommended as a great alternative to ssris highly recommend asking doc",43,43.45,5.19,93.79,95.29,43.00,37.21,86.05,48.84,13.95,6.98,6.98,0.00,0.00,0.00,0.00,6.98,4.65,11.63,6.98,4.65,6.98,6.98,11.63,4.65,2.33,0.00,0.00,2.33,4.65,4.65,0.00,0.00,0.00,0.00,9.30,0.00,0.00,0.00,0.00,25.58,2.33,2.33,0.00,6.98,4.65,11.63,0.00,0.00,0.00,0.00,9.30,0.00,9.30,0.00,0.00,11.63,0.00,4.65,4.65,4.65,0.00,2.33,6.98,0.00,9.30,0.00,4.65,4.65,4.65,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,2.33,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00
" wellbutrin is very pivotal in keeping me from getting depressed amp; overly anxious along with  other meds cymbalta geodon amp; klonopin without these iud be dead within a week staying sober these past yrs amp;  months also is incredibly important to me im proud of you to keisha",48,77.41,20.24,62.53,25.77,48.00,25.00,68.75,45.83,14.58,8.33,6.25,0.00,2.08,0.00,0.00,6.25,2.08,18.75,8.33,4.17,2.08,2.08,12.50,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,2.08,0.00,2.08,2.08,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,2.08,2.08,2.08,0.00,2.08,8.33,0.00,12.50,2.08,6.25,6.25,0.00,0.00,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" this is super fucking random so ium sorry but i would also like to recommend wellbutrin ) itus street name is uhappy horny and skinnyu like thatus what my doctor literally called it it made me lose hella weight and works really well  i hope you are feeling ok",48,9.17,26.60,7.84,65.25,48.00,12.50,85.42,47.92,18.75,10.42,8.33,0.00,2.08,0.00,0.00,8.33,0.00,6.25,8.33,8.33,10.42,0.00,20.83,10.42,4.17,2.08,0.00,0.00,14.58,8.33,6.25,0.00,2.08,4.17,8.33,0.00,0.00,0.00,0.00,14.58,2.08,2.08,4.17,4.17,0.00,4.17,4.17,0.00,0.00,4.17,8.33,2.08,2.08,4.17,2.08,8.33,0.00,6.25,2.08,0.00,2.08,4.17,12.50,2.08,2.08,0.00,2.08,0.00,4.17,0.00,0.00,0.00,0.00,0.00,8.33,4.17,2.08,2.08,2.08,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00
" k so plan for the day ium gonna feed my pets eat a sandwich purge a sandwich take my wellbutrin amp; xanax go out for a cigarette try to make myself look like ium not a wreck for therapy go downstairs and do some candle magick go upstairs amp; do my hw amp; attend german class",56,94.77,14.19,74.76,25.77,56.00,12.50,80.36,35.71,7.14,7.14,7.14,0.00,0.00,0.00,0.00,0.00,8.93,10.71,3.57,1.79,3.57,1.79,19.64,0.00,1.79,0.00,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,1.79,0.00,3.57,0.00,1.79,3.57,3.57,0.00,0.00,12.50,0.00,5.36,0.00,8.93,5.36,0.00,3.57,0.00,1.79,0.00,0.00,19.64,3.57,16.07,8.93,5.36,1.79,1.79,0.00,1.79,0.00,0.00,0.00,3.57,0.00,3.57,1.79,0.00,0.00,5.36,0.00,0.00,0.00,5.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" oh fr it gets so tiring tbh one day i was like fuck this what if i pretend to be a narcissist but after the day ended i was like nah i need to be somewhat critical of myself especially as an artist dbt seems like an expensive nightmare wellbutrin can be my savior for now",56,53.73,3.73,64.41,1.00,56.00,14.29,91.07,62.50,16.07,10.71,10.71,0.00,0.00,0.00,0.00,5.36,7.14,16.07,10.71,7.14,7.14,1.79,17.86,5.36,8.93,1.79,1.79,1.79,5.36,0.00,5.36,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,12.50,3.57,0.00,3.57,5.36,1.79,3.57,0.00,0.00,0.00,0.00,3.57,0.00,1.79,1.79,0.00,1.79,0.00,0.00,0.00,1.79,0.00,5.36,16.07,0.00,8.93,0.00,0.00,8.93,0.00,1.79,0.00,1.79,0.00,0.00,7.14,1.79,3.57,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" iuve been off wellbutrin ever since that first year and have never been on another antidepressant since and rarely lose sleep anymore yet this still happens to me minus the spine tingling",32,30.41,26.60,99.00,1.42,32.00,18.75,93.75,68.75,15.62,3.12,3.12,0.00,0.00,0.00,0.00,12.50,3.12,18.75,9.38,15.62,6.25,3.12,15.62,0.00,0.00,0.00,3.12,3.12,3.12,0.00,3.12,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,12.50,0.00,6.25,0.00,0.00,6.25,0.00,3.12,0.00,0.00,3.12,12.50,6.25,6.25,0.00,0.00,6.25,0.00,6.25,0.00,0.00,3.12,6.25,9.38,0.00,37.50,0.00,6.25,31.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" the first time this ever happened to me was when i was in college and was on wellbutrin for a few months after my mom died because of a school project i lost sleep while on it and suddenly my spine tingled and all the other symptoms i described happened as well",52,49.42,12.43,98.79,25.77,52.00,19.23,98.08,63.46,17.31,11.54,11.54,0.00,0.00,0.00,0.00,5.77,7.69,15.38,5.77,7.69,13.46,0.00,15.38,5.77,3.85,1.92,1.92,3.85,3.85,1.92,1.92,0.00,0.00,1.92,1.92,1.92,0.00,1.92,0.00,7.69,0.00,1.92,0.00,0.00,3.85,1.92,1.92,0.00,0.00,1.92,7.69,3.85,3.85,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,13.46,0.00,0.00,21.15,0.00,5.77,15.38,5.77,0.00,0.00,0.00,0.00,1.92,1.92,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" wellbutrin fuckin ruined my life for years and nearly killed me )",11,32.58,1.00,85.21,1.00,11.00,9.09,90.91,45.45,18.18,18.18,18.18,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,27.27,0.00,27.27,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00
