Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" itus honestly really nice to not want to die anymore like i really was feeling like life wasnut worth shit and just donut care if i was alive or not since i was abt  so itus nice that i havenut wanted to die for over a year and a half thanks wellbutrin ;) amp; my best friends kiss",58,60.46,1.31,59.31,99.00,58.00,10.34,87.93,53.45,12.07,8.62,8.62,0.00,0.00,0.00,0.00,3.45,3.45,15.52,5.17,6.90,8.62,3.45,17.24,6.90,5.17,0.00,1.72,0.00,13.79,12.07,1.72,0.00,1.72,0.00,1.72,0.00,1.72,0.00,0.00,17.24,1.72,1.72,5.17,3.45,0.00,10.34,1.72,0.00,0.00,1.72,5.17,1.72,3.45,0.00,0.00,6.90,3.45,1.72,3.45,1.72,0.00,6.90,8.62,0.00,6.90,0.00,1.72,5.17,0.00,0.00,0.00,1.72,0.00,5.17,5.17,1.72,3.45,0.00,0.00,0.00,1.72,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" one thing i remember about wellbutrin was it didn't help at all except in making me not as interested in cigarettes and i could never sleep for more than  hours without waking up shaking in a bout of rage for never any reason god tier drug",46,80.93,1.00,99.00,4.13,46.00,13.04,91.30,56.52,10.87,6.52,6.52,0.00,0.00,0.00,0.00,4.35,2.17,28.26,6.52,6.52,4.35,10.87,10.87,6.52,6.52,0.00,2.17,6.52,6.52,2.17,4.35,2.17,2.17,0.00,2.17,0.00,0.00,0.00,0.00,28.26,4.35,4.35,2.17,2.17,6.52,10.87,0.00,0.00,0.00,0.00,6.52,2.17,4.35,0.00,2.17,6.52,2.17,0.00,6.52,0.00,0.00,6.52,0.00,0.00,17.39,0.00,10.87,6.52,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00
" lrt lexapro has been a fuckin godsend tbh lol nrly helps me get rid of those ui wanna deu thoughts; i never feel like that when ium taking my meds regularlynand wellbutrin just helps me actually do shit?? lol gives me that nudge i need to get up and get shit done",52,24.14,6.21,38.39,62.24,26.00,11.54,76.92,46.15,17.31,11.54,11.54,0.00,0.00,0.00,0.00,5.77,1.92,7.69,9.62,7.69,3.85,1.92,25.00,1.92,1.92,1.92,0.00,0.00,13.46,7.69,5.77,0.00,5.77,0.00,5.77,0.00,0.00,0.00,0.00,11.54,3.85,0.00,3.85,0.00,1.92,1.92,1.92,0.00,0.00,1.92,5.77,3.85,0.00,1.92,0.00,13.46,3.85,0.00,1.92,7.69,0.00,3.85,19.23,1.92,5.77,0.00,1.92,3.85,0.00,0.00,0.00,0.00,0.00,0.00,13.46,5.77,5.77,0.00,0.00,0.00,5.77,0.00,0.00,0.00,1.92,3.85,0.00,0.00,0.00,0.00,0.00,0.00
"   to  veterans at vha without a diagnosis who got mh treatment (ie prescribed antidepressant wellbutrin for smoking cessation) were more likely to die by suicide than those with a diagnosis who were ucuntreatedud ",33,99.00,38.08,16.48,25.77,33.00,36.36,78.79,45.45,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,6.06,24.24,6.06,0.00,0.00,3.03,12.12,6.06,6.06,6.06,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,15.15,6.06,0.00,0.00,3.03,0.00,6.06,0.00,0.00,0.00,0.00,15.15,0.00,12.12,0.00,3.03,6.06,0.00,0.00,3.03,3.03,0.00,9.09,3.03,0.00,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00
" have you considered medication? i always go with lifestyle changes first (i hate pills) but the wellbutrinzoloft combo ium on has helped me tremendously i was in big trouble before and i couldnut get around it no matter how hard i tried know that youure not alone uufe0f",48,33.07,4.80,99.00,1.00,24.00,16.67,81.25,47.92,18.75,14.58,12.50,0.00,2.08,0.00,0.00,4.17,2.08,10.42,6.25,4.17,6.25,4.17,20.83,8.33,2.08,2.08,2.08,0.00,6.25,0.00,6.25,0.00,2.08,2.08,2.08,0.00,0.00,0.00,0.00,14.58,4.17,4.17,0.00,0.00,2.08,4.17,2.08,0.00,0.00,2.08,4.17,0.00,4.17,0.00,2.08,10.42,0.00,4.17,2.08,2.08,2.08,6.25,12.50,0.00,18.75,4.17,8.33,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.00,4.17,0.00
" i struggled w fatigue for a large part of  these things had the biggest impact (in reverse order) low dose wellbutrin running multiple times per week(to improve sleep combat depression) same vitamin d dietary improvements (ongoing) cbt amp; other antidepression methods",42,95.20,31.71,68.01,1.00,42.00,35.71,73.81,26.19,9.52,2.38,2.38,0.00,0.00,0.00,0.00,7.14,4.76,9.52,2.38,0.00,0.00,0.00,4.76,7.14,4.76,0.00,0.00,4.76,14.29,4.76,9.52,2.38,0.00,7.14,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,14.29,2.38,11.90,0.00,2.38,16.67,0.00,4.76,11.90,0.00,0.00,2.38,0.00,0.00,19.05,2.38,9.52,4.76,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,14.29,0.00
"  year traumatic abusive life journey to heal is not an easy journey to do alone without prescription drugs like zoloft and wellbutrin to help but on the hard journey nevertheless",30,93.26,4.80,93.30,1.03,30.00,30.00,96.67,46.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,20.00,6.67,3.33,10.00,6.67,10.00,10.00,3.33,0.00,0.00,0.00,16.67,6.67,10.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,13.33,3.33,0.00,0.00,3.33,16.67,0.00,16.67,0.00,0.00,3.33,3.33,0.00,3.33,0.00,0.00,0.00,10.00,0.00,16.67,10.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" this nni used to be one of those people who swore iud never take meds and i ruined grad school that way now? fuck that ium wildly outspoken about my own mental illness my meds and my asskicking therapist  lexapro and wellbutrin ftw nnshame and stigma kill worldwide ",48,23.10,20.24,14.24,1.00,24.00,16.67,68.75,39.58,18.75,8.33,8.33,0.00,0.00,0.00,0.00,10.42,0.00,6.25,2.08,6.25,8.33,2.08,8.33,2.08,0.00,2.08,2.08,0.00,6.25,0.00,6.25,0.00,4.17,2.08,4.17,0.00,0.00,0.00,0.00,4.17,0.00,2.08,0.00,0.00,2.08,0.00,0.00,0.00,0.00,0.00,6.25,0.00,4.17,2.08,0.00,2.08,0.00,0.00,0.00,2.08,0.00,2.08,8.33,0.00,6.25,0.00,2.08,4.17,4.17,0.00,0.00,0.00,0.00,2.08,4.17,2.08,2.08,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00
"  therapist has ever treated manifested when his best friend committed suicide when l was ; he's  now)nnhe has tried half a dozen different antidepressants; currently on wellbutrin klonopin amp; gets ect every  wks swears he'll never put himself through hell of trying",42,35.40,68.29,13.15,25.77,42.00,28.57,76.19,35.71,7.14,7.14,0.00,0.00,0.00,7.14,0.00,0.00,2.38,7.14,9.52,11.90,4.76,2.38,21.43,4.76,4.76,4.76,4.76,2.38,4.76,2.38,2.38,0.00,2.38,0.00,11.90,0.00,2.38,0.00,9.52,14.29,0.00,0.00,0.00,2.38,9.52,2.38,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,11.90,2.38,7.14,2.38,4.76,0.00,4.76,14.29,2.38,19.05,2.38,2.38,14.29,0.00,0.00,0.00,0.00,2.38,2.38,2.38,2.38,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,4.76,2.38,0.00
" i need wellbutrinbupropion for my anxiety which feels like my heart is going to explode rip itself apart or just stop altogether and it never does it's a persistent excruciating pain that i wish would stop to the point of suicide seeming nice i live in fear of losing px",50,52.71,5.50,79.76,1.00,50.00,16.00,92.00,52.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,4.00,14.00,8.00,4.00,4.00,2.00,20.00,2.00,2.00,2.00,0.00,0.00,12.00,2.00,10.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,18.00,4.00,0.00,6.00,4.00,4.00,4.00,4.00,0.00,0.00,4.00,6.00,2.00,4.00,0.00,0.00,8.00,0.00,4.00,0.00,0.00,6.00,0.00,12.00,4.00,14.00,2.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
" wellbutrin has changed folks lives and i still have to suffer  i'm just gonna be like sir i'm gonna microdose on acid or shrooms i'm tired of bieng depressed as fuck and not creative and tired all the time unless you got something better",44,21.87,12.79,92.27,3.73,44.00,15.91,93.18,52.27,13.64,11.36,9.09,0.00,2.27,0.00,0.00,2.27,2.27,13.64,13.64,4.55,13.64,2.27,29.55,11.36,6.82,0.00,0.00,2.27,11.36,4.55,6.82,0.00,2.27,4.55,6.82,2.27,0.00,0.00,2.27,15.91,0.00,4.55,0.00,4.55,2.27,6.82,2.27,0.00,0.00,0.00,9.09,0.00,6.82,2.27,0.00,9.09,0.00,4.55,2.27,4.55,0.00,4.55,20.45,4.55,13.64,6.82,2.27,4.55,0.00,2.27,0.00,0.00,0.00,0.00,6.82,2.27,4.55,0.00,0.00,0.00,6.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82,0.00,0.00
"  years for me tried all the nrts except for chantixchampixzyban (side effects are terrifying) nnvaping came along i could finally end the cycle  years smoke free nownnvaping changed my life and the lives of thousands of people who now support a small business as well",45,93.26,32.84,95.38,94.19,45.00,22.22,91.11,46.67,8.89,6.67,6.67,0.00,0.00,0.00,0.00,2.22,8.89,15.56,4.44,6.67,4.44,0.00,15.56,8.89,2.22,2.22,2.22,2.22,8.89,6.67,2.22,2.22,0.00,0.00,4.44,0.00,0.00,0.00,0.00,11.11,2.22,4.44,2.22,0.00,2.22,2.22,0.00,0.00,0.00,0.00,6.67,0.00,4.44,0.00,2.22,4.44,0.00,2.22,2.22,0.00,0.00,6.67,8.89,0.00,22.22,4.44,4.44,13.33,2.22,0.00,0.00,4.44,0.00,0.00,2.22,0.00,0.00,0.00,2.22,0.00,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00
" iuve had to switch meds a few time wellbutrin worked great at first but after about two months i got super agitated and felt suicidal out of control it was really scary once i got back on an ssri rational thought returned hang in there youure not alone",48,88.46,10.58,99.00,4.56,48.00,14.58,87.50,43.75,6.25,4.17,4.17,0.00,0.00,0.00,0.00,2.08,4.17,16.67,4.17,8.33,4.17,2.08,16.67,12.50,2.08,0.00,6.25,2.08,10.42,4.17,6.25,2.08,2.08,2.08,0.00,0.00,0.00,0.00,0.00,14.58,6.25,4.17,0.00,0.00,0.00,6.25,2.08,0.00,0.00,2.08,0.00,0.00,0.00,0.00,0.00,14.58,0.00,6.25,2.08,6.25,0.00,12.50,2.08,0.00,25.00,2.08,10.42,14.58,2.08,0.00,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" wow wellbutrin for the longest gave me very vivid nightmares every time i would sleep i was on it for about  months and ended up changing it to lexapro",29,77.56,24.51,95.26,25.77,29.00,17.24,93.10,55.17,17.24,10.34,10.34,0.00,0.00,0.00,0.00,6.90,3.45,20.69,6.90,6.90,3.45,0.00,13.79,3.45,3.45,0.00,0.00,3.45,6.90,3.45,3.45,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,10.34,0.00,3.45,3.45,0.00,3.45,0.00,3.45,3.45,0.00,0.00,3.45,3.45,0.00,0.00,0.00,3.45,0.00,0.00,3.45,0.00,0.00,10.34,0.00,0.00,24.14,3.45,10.34,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" destigmatizing mental illnessnni'm jessienni have been diagnosed with depression anxiety and borderline personality disordernnmy last attempted suicide was in july  i currently take wellbutrin for my depressionnnnever suffer alone please reach outuddudcc ",32,79.58,26.60,74.76,1.00,32.00,46.88,75.00,28.12,6.25,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,9.38,9.38,0.00,3.12,0.00,15.62,6.25,0.00,0.00,0.00,0.00,18.75,3.12,15.62,3.12,0.00,12.50,0.00,0.00,0.00,0.00,0.00,6.25,3.12,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,3.12,0.00,0.00,0.00,3.12,0.00,6.25,12.50,0.00,15.62,0.00,6.25,9.38,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00
" all meds will fuck you up in some way but itus better than going without it wellbutrin never worked for me lol",22,69.94,1.20,99.00,94.75,22.00,9.09,86.36,50.00,13.64,9.09,4.55,0.00,4.55,0.00,0.00,4.55,0.00,22.73,4.55,4.55,4.55,9.09,18.18,9.09,9.09,0.00,0.00,9.09,13.64,9.09,4.55,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,4.55,9.09,13.64,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,13.64,0.00,9.09,4.55,4.55,0.00,4.55,4.55,9.09,22.73,4.55,13.64,4.55,4.55,0.00,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" donut do thatuyou might end up with some pretty bad withdrawal symptoms depending on what youure on and youull overall experience some shitty mood changes not all meds will kill you (like wellbutrin gives you seizures) youull be better off either not doing anything or get help",47,66.74,41.59,51.84,4.35,47.00,21.28,85.11,40.43,8.51,4.26,0.00,0.00,4.26,0.00,0.00,4.26,0.00,12.77,10.64,0.00,4.26,4.26,14.89,4.26,6.38,2.13,0.00,8.51,12.77,4.26,6.38,0.00,4.26,0.00,8.51,0.00,0.00,0.00,0.00,27.66,0.00,4.26,0.00,17.02,2.13,8.51,2.13,0.00,0.00,0.00,8.51,2.13,6.38,0.00,0.00,10.64,2.13,2.13,4.26,4.26,2.13,0.00,8.51,4.26,12.77,2.13,8.51,2.13,0.00,0.00,0.00,0.00,0.00,2.13,2.13,2.13,0.00,0.00,0.00,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,0.00
" obviously it's silly to think adults like sweet flavours nnirish lung association advise people to use zyban? only side effect is suicidal tendenciesnnspray gum patches uselessnnthe uk see vaping for what it is a quick way to stop smokingnn safer than smoking",42,93.26,68.29,23.51,99.00,21.00,23.81,80.95,30.95,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,2.38,14.29,7.14,2.38,0.00,0.00,14.29,9.52,7.14,2.38,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,11.90,4.76,4.76,0.00,0.00,2.38,2.38,7.14,2.38,0.00,0.00,9.52,2.38,0.00,0.00,7.14,7.14,2.38,0.00,0.00,0.00,4.76,0.00,14.29,0.00,9.52,0.00,4.76,4.76,4.76,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,2.38,0.00,0.00
" wellbutrin gt; zybannnthey figured out that poison wellbutrin curbed nicotine addiction nnpeople diddo not even know zyban is an antidepressant with suicidal tendencies nnfuck pharma",25,88.69,21.18,20.24,1.00,25.00,40.00,56.00,28.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,8.00,4.00,4.00,0.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,8.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" not to live tweet my antidepressant but wellbutrin makes it so i forget to eat all day because ium never hungry until i suddenly become nauseous and feel like ium going to die because ium starving",36,24.62,4.80,98.01,25.77,36.00,19.44,88.89,50.00,11.11,8.33,8.33,0.00,0.00,0.00,0.00,2.78,0.00,13.89,2.78,8.33,16.67,5.56,25.00,0.00,2.78,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,25.00,5.56,8.33,0.00,0.00,5.56,5.56,2.78,0.00,0.00,2.78,16.67,0.00,8.33,0.00,8.33,2.78,2.78,0.00,0.00,0.00,0.00,0.00,19.44,2.78,13.89,2.78,0.00,11.11,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" its gotten to the point where whenever i get a weird nervous system thing i google it an  of the time its a side effect of fuckin wellbutrin like im not gonna get off of it bc i like not being constantly suicidal but jesus",45,58.95,1.38,99.00,1.00,45.00,11.11,93.33,62.22,20.00,8.89,8.89,0.00,0.00,0.00,0.00,11.11,11.11,13.33,4.44,6.67,6.67,4.44,15.56,6.67,2.22,4.44,0.00,0.00,8.89,2.22,6.67,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,11.11,2.22,4.44,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,2.22,0.00,0.00,2.22,0.00,6.67,0.00,0.00,0.00,6.67,0.00,2.22,6.67,2.22,17.78,2.22,8.89,6.67,0.00,0.00,0.00,0.00,2.22,2.22,6.67,2.22,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" well wellbutrin had me spiraling demolishing all my friendships and attempting suicide then i found lexapro my whole life has changed my whole life",24,6.95,1.89,98.01,92.40,24.00,33.33,75.00,41.67,20.83,20.83,20.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,4.17,8.33,0.00,16.67,0.00,0.00,0.00,0.00,12.50,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,4.17,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,4.17,4.17,8.33,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" wellbutrin gt; zybannnthey figured out that poison wellbutrin curbed nicotine addiction nnpeople diddo not even know zyban is an antidepressant with suicidal tendencies nnfuck pharma",25,88.69,21.18,20.24,1.00,25.00,40.00,56.00,28.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,8.00,4.00,4.00,0.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,8.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i havenut been able to sleep for shit all week i fall asleep and wake up  hours later and thatus the end of my sleeping for the rest of the night i think itus because i finally got my prescription of wellbutrin (my antidepressant) and itus fucking with me",49,85.53,2.08,98.84,1.00,49.00,16.33,87.76,51.02,16.33,16.33,16.33,0.00,0.00,0.00,0.00,0.00,6.12,16.33,2.04,2.04,8.16,0.00,8.16,8.16,2.04,0.00,0.00,2.04,4.08,0.00,4.08,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,6.12,2.04,2.04,0.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00,16.33,10.20,4.08,2.04,0.00,6.12,0.00,2.04,2.04,2.04,0.00,4.08,2.04,0.00,16.33,2.04,2.04,12.24,0.00,0.00,0.00,0.00,0.00,0.00,4.08,4.08,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.08,0.00
" wellbutrinzoloft combo saved my fucking life and ability to get out of bed without chronic need to sleep and ptsd i didn't start any meds until i was  and i really wish i had it sooner",36,31.30,1.00,94.42,2.09,36.00,13.89,86.11,52.78,16.67,13.89,13.89,0.00,0.00,0.00,0.00,2.78,0.00,16.67,8.33,2.78,11.11,5.56,19.44,5.56,2.78,0.00,0.00,2.78,2.78,0.00,2.78,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,5.56,2.78,0.00,8.33,0.00,0.00,0.00,0.00,11.11,2.78,5.56,2.78,0.00,5.56,0.00,2.78,0.00,2.78,0.00,8.33,8.33,5.56,13.89,0.00,2.78,11.11,0.00,0.00,2.78,0.00,0.00,0.00,2.78,2.78,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00
" stick with it how many mgsday? i do it in combo w buspar wellbutrin and cymbalta; that seems to finally work for me personally but it took a few yrs of trying different stuff to get to a good place never quit without dr supervision; thatus a ticket to udcudfe or suicide",52,79.10,6.21,51.03,62.24,26.00,17.31,78.85,50.00,13.46,3.85,3.85,0.00,0.00,0.00,0.00,9.62,5.77,17.31,1.92,5.77,7.69,3.85,11.54,3.85,1.92,1.92,0.00,3.85,1.92,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,1.92,1.92,0.00,5.77,1.92,7.69,0.00,0.00,0.00,0.00,1.92,0.00,1.92,0.00,0.00,15.38,0.00,5.77,3.85,5.77,0.00,1.92,7.69,0.00,7.69,0.00,3.85,3.85,3.85,1.92,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,5.77,0.00,0.00,0.00,3.85,1.92,0.00,0.00,0.00,0.00,0.00,0.00
" wellbutrin changed my life i never felt better then my hair starting falling out in clumps this also happened too my mother and my son both of whom saw tremendous life changing results we all had to stop taking it i've never found anything comparable",45,8.69,25.24,99.00,67.75,45.00,22.22,91.11,48.89,24.44,15.56,13.33,2.22,0.00,0.00,0.00,8.89,0.00,8.89,4.44,8.89,6.67,4.44,20.00,4.44,4.44,2.22,0.00,4.44,2.22,2.22,0.00,0.00,0.00,0.00,8.89,4.44,0.00,2.22,2.22,20.00,4.44,6.67,0.00,2.22,6.67,0.00,4.44,2.22,0.00,2.22,4.44,0.00,4.44,0.00,0.00,8.89,2.22,2.22,0.00,4.44,2.22,13.33,2.22,2.22,24.44,6.67,6.67,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00
" the last time i made scrambled eggs was around three years ago i began sobbing uci fuck up everything i touchud ended up on wellbutrin and tried to kill myself so i am wary but i make the best scrambled eggs in the world",44,75.34,5.60,99.00,1.00,44.00,13.64,88.64,47.73,15.91,13.64,13.64,0.00,0.00,0.00,0.00,2.27,6.82,13.64,4.55,4.55,6.82,0.00,20.45,2.27,2.27,0.00,2.27,0.00,9.09,2.27,6.82,0.00,4.55,2.27,2.27,0.00,0.00,0.00,0.00,9.09,0.00,4.55,0.00,0.00,2.27,2.27,2.27,0.00,0.00,2.27,6.82,0.00,0.00,2.27,4.55,9.09,0.00,4.55,6.82,2.27,0.00,13.64,6.82,0.00,27.27,0.00,13.64,13.64,0.00,0.00,0.00,0.00,0.00,2.27,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i was given a combination of drugs (wellbutrin and strattera) which is known to be very dangerous and should never be given it almost killed me i was angry about this then i was given a pd because i was angry and wouldn't let it go without even an apology",50,1.92,5.50,20.24,1.00,50.00,16.00,92.00,70.00,18.00,10.00,10.00,0.00,0.00,0.00,0.00,8.00,6.00,8.00,20.00,10.00,10.00,6.00,30.00,6.00,0.00,2.00,0.00,0.00,8.00,0.00,8.00,0.00,6.00,0.00,2.00,0.00,0.00,0.00,0.00,14.00,2.00,2.00,4.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,2.00,0.00,2.00,16.00,8.00,2.00,6.00,2.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00
" good olu wellbutrin found out i was one of the few people who had an allergic reaction to it so i ended up developing dermatographia which is my bodyus way of telling me ucif you take this again ium gonna fucking kill youud also i use a pill sorter too no worries",52,43.96,35.01,63.54,1.00,52.00,15.38,88.46,50.00,19.23,11.54,9.62,0.00,1.92,0.00,0.00,7.69,5.77,9.62,5.77,7.69,3.85,1.92,17.31,3.85,0.00,3.85,1.92,1.92,7.69,1.92,5.77,1.92,3.85,0.00,7.69,0.00,0.00,0.00,0.00,5.77,1.92,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.62,1.92,5.77,1.92,1.92,5.77,0.00,0.00,1.92,3.85,0.00,7.69,7.69,1.92,11.54,1.92,5.77,3.85,1.92,0.00,0.00,0.00,0.00,1.92,3.85,1.92,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
